ID,lat,lon,ele,time,name
69,43.94667397,-71.73190397,502.172943,2022-05-18T14:37:37Z,BRRA 18V22 2
70,43.94661496,-71.73185997,502.732788,2022-06-18T12:41:11Z,BRRA 18VI22 1
71,43.947039,-71.73261099,515.84845,2022-06-24T15:29:51Z,BRRA 24VI22 1
72,43.94704202,-71.73217496,492.725739,2022-05-29T13:55:22Z,BRRA 29V22 1
73,43.94715199,-71.732154,494.274078,2022-05-29T14:02:11Z,BRRA 29V22 2
74,43.94746103,-71.73185896,495.767303,2022-06-02T11:29:10Z,BRRA 2VI22 1
75,43.94714001,-71.73219902,505.493683,2022-06-02T12:01:11Z,BRRA 2VI22 11
76,43.94759397,-71.73190196,484.567535,2022-05-31T12:09:34Z,BRRA 31V22 1
77,43.94713598,-71.73296303,518.297302,2022-06-04T13:47:26Z,BRRA 4VI22 1
78,43.94732902,-71.73197002,484.886444,2022-06-07T11:33:00Z,BRRA 7VI22 1
79,43.94833501,-71.73444503,523.683105,2022-06-30T11:22:24Z,GAPK 30VI22 1
80,43.947584,-71.73750501,588.795593,2022-07-03T14:12:07Z,GAPK 3VII22 1
81,43.94767896,-71.73725397,582.7948,2022-07-05T10:33:37Z,GAPK 5VII22 1
82,43.94737001,-71.73737501,587.829163,2022-07-05T11:29:05Z,GAPK 5VII22 2
83,43.94076398,-71.74314301,612.518677,2022-07-06T11:18:08Z,GARY 6VII22 1
84,43.94078996,-71.74283599,614.098511,2022-07-06T11:46:02Z,GARY 6VII22 3
85,43.94070396,-71.74265301,603.415527,2022-07-08T12:32:47Z,GARY 8VII22 1
86,43.940969,-71.74263197,603.855835,2022-07-08T12:42:52Z,GARY 8VII22 2
87,43.94111501,-71.74235101,599.88501,2022-07-08T12:47:44Z,GARY 8VII22 3
88,43.94048997,-71.74269198,604.3927,2022-07-08T13:13:46Z,GARY 8VII22 4
89,43.94047103,-71.74266801,613.263184,2022-07-06T11:23:09Z,GARY VII22 2
90,43.94714696,-71.73878401,597.024536,2022-05-18T13:17:12Z,GAWK 18V22 1
91,43.94122297,-71.74435504,610.609314,2022-06-14T11:03:36Z,GBYA 14VI22
92,43.94138197,-71.74365104,609.012085,2022-06-14T14:38:19Z,GBYA 14VI22 1
93,43.941602,-71.74256399,591.431702,2022-05-22T11:54:46Z,GBYA 22V22 1
94,43.94157702,-71.74343797,597.816162,2022-05-22T12:05:57Z,GBYA 22V22 2
95,43.94117,-71.74421699,611.483521,2022-06-22T13:58:15Z,GBYA 22VI22 1
96,43.941114,-71.74345599,607.83551,2022-05-24T12:33:54Z,GBYA 24V22 1
97,43.94077999,-71.74395497,622.022278,2022-05-30T14:00:11Z,GBYA 30V22 1
98,43.940855,-71.74342699,616.23645,2022-05-30T14:17:15Z,GBYA 30V22 2
99,43.94132799,-71.74456802,614.26416,2022-05-31T12:26:23Z,GBYA 31V22 1
100,43.94079901,-71.744003,613.661804,2022-05-31T12:04:18Z,GBYA 31V22 2
101,43.94120897,-71.74473298,611.759155,2022-06-04T11:23:14Z,GBYA 4VI22 1
102,43.94084796,-71.74366797,617.680908,2022-07-06T12:02:05Z,GBYA 6VII22 1
103,43.94097101,-71.74376403,612.609619,2022-07-06T12:36:45Z,GBYA 6VII22 2
104,43.94113303,-71.74402798,613.212646,2022-07-06T13:09:19Z,GBYA 6VII22 3
105,43.94031798,-71.74383997,619.25708,2022-07-06T13:27:51Z,GBYA 6VII22 4
106,43.943803,-71.73360902,542.742493,2022-06-02T12:00:50Z,GGRA 02VI22 1
107,43.94404097,-71.73373902,537.320557,2022-06-02T12:12:20Z,GGRA 02VI22 2
